tt,time,month,RR,Station,Municipality
2005,2005,ENE,1.01,cerro_estrella,Iztapalapa
2005.083333,2005,FEB,5.83,cerro_estrella,Iztapalapa
2005.166667,2005,MAR,0.5,cerro_estrella,Iztapalapa
2005.25,2005,ABR,16.73,cerro_estrella,Iztapalapa
2005.333333,2005,MAY,15.47,cerro_estrella,Iztapalapa
2005.416667,2005,JUN,90.88,cerro_estrella,Iztapalapa
2005.5,2005,JUL,152.56,cerro_estrella,Iztapalapa
2005.583333,2005,AGO,101.76,cerro_estrella,Iztapalapa
2005.666667,2005,SEP,64.7,cerro_estrella,Iztapalapa
2005.75,2005,OCT,63.22,cerro_estrella,Iztapalapa
2005.833333,2005,NOV,3.55,cerro_estrella,Iztapalapa
2005.916667,2005,DIC,0.76,cerro_estrella,Iztapalapa
2006,2006,ENE,0,cerro_estrella,Iztapalapa
2006.083333,2006,FEB,0,cerro_estrella,Iztapalapa
2006.166667,2006,MAR,6.32,cerro_estrella,Iztapalapa
2006.25,2006,ABR,31.96,cerro_estrella,Iztapalapa
2006.333333,2006,MAY,78.17,cerro_estrella,Iztapalapa
2006.416667,2006,JUN,62.7,cerro_estrella,Iztapalapa
2006.5,2006,JUL,69.82,cerro_estrella,Iztapalapa
2006.583333,2006,AGO,201.11,cerro_estrella,Iztapalapa
2006.666667,2006,SEP,92.14,cerro_estrella,Iztapalapa
2006.75,2006,OCT,34,cerro_estrella,Iztapalapa
2006.833333,2006,NOV,50.02,cerro_estrella,Iztapalapa
2006.916667,2006,DIC,1.52,cerro_estrella,Iztapalapa
2007,2007,ENE,5.07,cerro_estrella,Iztapalapa
2007.083333,2007,FEB,23.85,cerro_estrella,Iztapalapa
2007.166667,2007,MAR,16.24,cerro_estrella,Iztapalapa
2007.25,2007,ABR,11.4,cerro_estrella,Iztapalapa
2007.333333,2007,MAY,30.94,cerro_estrella,Iztapalapa
2007.416667,2007,JUN,93.92,cerro_estrella,Iztapalapa
2007.5,2007,JUL,121.07,cerro_estrella,Iztapalapa
2007.583333,2007,AGO,143.68,cerro_estrella,Iztapalapa
2007.666667,2007,SEP,166.79,cerro_estrella,Iztapalapa
